carnet,nombre,carrera,departamento,promedio
EST035266,Estudiante 35266,Ingeniería en Sistemas,La Libertad,6.83
EST035267,Estudiante 35267,Ingeniería en Sistemas,San Salvador,7.18
EST035268,Estudiante 35268,Ingeniería Industrial,San Salvador,5.97
EST035269,Estudiante 35269,Ingeniería Industrial,Sonsonate,5.24
EST035270,Estudiante 35270,Arquitectura,La Libertad,7.41
EST035271,Estudiante 35271,Ingeniería en Sistemas,Sonsonate,9.14
EST035272,Estudiante 35272,Contaduría,San Salvador,9.17
EST035273,Estudiante 35273,Arquitectura,San Miguel,5.42
EST035274,Estudiante 35274,Ingeniería Industrial,San Miguel,9.24
EST035275,Estudiante 35275,Ingeniería Industrial,San Salvador,7.71
EST035276,Estudiante 35276,Ingeniería Industrial,Sonsonate,8.17
EST035277,Estudiante 35277,Ingeniería en Sistemas,San Salvador,9.35
EST035278,Estudiante 35278,Arquitectura,La Libertad,8.29
EST035279,Estudiante 35279,Ingeniería Industrial,Sonsonate,6.72
EST035280,Estudiante 35280,Contaduría,Sonsonate,8.32
EST035281,Estudiante 35281,Administración,La Libertad,9.29
EST035282,Estudiante 35282,Administración,San Salvador,8.14
EST035283,Estudiante 35283,Administración,La Libertad,6.32
EST035284,Estudiante 35284,Contaduría,La Libertad,5.25
EST035285,Estudiante 35285,Arquitectura,San Salvador,5.84
EST035286,Estudiante 35286,Contaduría,San Miguel,8.18
EST035287,Estudiante 35287,Arquitectura,La Libertad,8.3
EST035288,Estudiante 35288,Contaduría,La Libertad,9.4
EST035289,Estudiante 35289,Ingeniería Industrial,Santa Ana,9.42
EST035290,Estudiante 35290,Ingeniería en Sistemas,San Miguel,9.43
EST035291,Estudiante 35291,Arquitectura,Santa Ana,9.0
EST035292,Estudiante 35292,Administración,San Salvador,6.12
EST035293,Estudiante 35293,Contaduría,San Salvador,8.64
EST035294,Estudiante 35294,Administración,La Libertad,9.54
EST035295,Estudiante 35295,Contaduría,Santa Ana,8.88
EST035296,Estudiante 35296,Administración,Santa Ana,9.73
EST035297,Estudiante 35297,Arquitectura,Sonsonate,9.92
EST035298,Estudiante 35298,Contaduría,San Salvador,6.58
EST035299,Estudiante 35299,Contaduría,San Salvador,5.61
EST035300,Estudiante 35300,Ingeniería Industrial,Sonsonate,6.12
EST035301,Estudiante 35301,Arquitectura,San Salvador,9.26
EST035302,Estudiante 35302,Administración,Sonsonate,8.66
EST035303,Estudiante 35303,Contaduría,Sonsonate,6.89
EST035304,Estudiante 35304,Contaduría,San Salvador,9.99
EST035305,Estudiante 35305,Ingeniería en Sistemas,Santa Ana,5.82
EST035306,Estudiante 35306,Ingeniería Industrial,La Libertad,6.22
EST035307,Estudiante 35307,Ingeniería en Sistemas,Sonsonate,5.0
EST035308,Estudiante 35308,Administración,San Miguel,5.33
EST035309,Estudiante 35309,Ingeniería en Sistemas,Santa Ana,8.13
EST035310,Estudiante 35310,Contaduría,Santa Ana,8.03
EST035311,Estudiante 35311,Ingeniería en Sistemas,San Salvador,5.65
EST035312,Estudiante 35312,Contaduría,San Miguel,9.03
EST035313,Estudiante 35313,Contaduría,San Miguel,8.23
EST035314,Estudiante 35314,Administración,Santa Ana,6.9
EST035315,Estudiante 35315,Ingeniería en Sistemas,La Libertad,7.05
EST035316,Estudiante 35316,Arquitectura,Santa Ana,9.06
EST035317,Estudiante 35317,Arquitectura,La Libertad,8.12
EST035318,Estudiante 35318,Ingeniería en Sistemas,Santa Ana,7.55
EST035319,Estudiante 35319,Ingeniería en Sistemas,San Salvador,8.24
EST035320,Estudiante 35320,Contaduría,Sonsonate,5.74
EST035321,Estudiante 35321,Arquitectura,San Miguel,8.01
EST035322,Estudiante 35322,Administración,Santa Ana,5.94
EST035323,Estudiante 35323,Contaduría,San Miguel,9.65
EST035324,Estudiante 35324,Administración,Sonsonate,8.16
EST035325,Estudiante 35325,Contaduría,La Libertad,8.37
EST035326,Estudiante 35326,Ingeniería en Sistemas,Sonsonate,6.54
EST035327,Estudiante 35327,Ingeniería Industrial,San Miguel,9.64
EST035328,Estudiante 35328,Contaduría,San Salvador,8.44
EST035329,Estudiante 35329,Ingeniería en Sistemas,La Libertad,9.09
EST035330,Estudiante 35330,Contaduría,Sonsonate,5.34
EST035331,Estudiante 35331,Arquitectura,Sonsonate,9.48
EST035332,Estudiante 35332,Arquitectura,San Miguel,5.19
EST035333,Estudiante 35333,Administración,San Salvador,8.2
EST035334,Estudiante 35334,Arquitectura,San Miguel,5.94
EST035335,Estudiante 35335,Ingeniería en Sistemas,Santa Ana,9.77
EST035336,Estudiante 35336,Ingeniería en Sistemas,San Miguel,6.41
EST035337,Estudiante 35337,Administración,La Libertad,5.82
EST035338,Estudiante 35338,Ingeniería en Sistemas,Sonsonate,7.69
EST035339,Estudiante 35339,Ingeniería Industrial,La Libertad,7.05
EST035340,Estudiante 35340,Arquitectura,San Salvador,7.85
EST035341,Estudiante 35341,Ingeniería Industrial,Santa Ana,9.36
EST035342,Estudiante 35342,Arquitectura,San Salvador,8.46
EST035343,Estudiante 35343,Administración,Sonsonate,7.86
EST035344,Estudiante 35344,Contaduría,Sonsonate,7.37
EST035345,Estudiante 35345,Administración,San Salvador,7.22
EST035346,Estudiante 35346,Administración,San Salvador,9.77
EST035347,Estudiante 35347,Arquitectura,Santa Ana,9.89
EST035348,Estudiante 35348,Ingeniería Industrial,La Libertad,7.47
EST035349,Estudiante 35349,Ingeniería Industrial,Sonsonate,6.98
EST035350,Estudiante 35350,Arquitectura,San Miguel,6.49
EST035351,Estudiante 35351,Arquitectura,San Salvador,5.14
EST035352,Estudiante 35352,Ingeniería Industrial,San Miguel,7.53
EST035353,Estudiante 35353,Administración,Santa Ana,7.3
EST035354,Estudiante 35354,Ingeniería en Sistemas,La Libertad,5.07
EST035355,Estudiante 35355,Arquitectura,La Libertad,7.65
EST035356,Estudiante 35356,Ingeniería Industrial,San Miguel,8.12
EST035357,Estudiante 35357,Administración,Sonsonate,7.33
EST035358,Estudiante 35358,Ingeniería Industrial,San Miguel,9.57
EST035359,Estudiante 35359,Contaduría,La Libertad,5.43
EST035360,Estudiante 35360,Arquitectura,La Libertad,6.09
EST035361,Estudiante 35361,Ingeniería Industrial,Santa Ana,6.05
EST035362,Estudiante 35362,Ingeniería Industrial,La Libertad,9.86
EST035363,Estudiante 35363,Administración,San Salvador,6.23
EST035364,Estudiante 35364,Ingeniería en Sistemas,San Salvador,5.13
EST035365,Estudiante 35365,Arquitectura,San Salvador,7.88
EST035366,Estudiante 35366,Ingeniería Industrial,Santa Ana,6.8
EST035367,Estudiante 35367,Administración,Santa Ana,9.01
EST035368,Estudiante 35368,Contaduría,San Salvador,9.67
EST035369,Estudiante 35369,Contaduría,Santa Ana,5.17
EST035370,Estudiante 35370,Administración,San Salvador,7.85
EST035371,Estudiante 35371,Arquitectura,Santa Ana,6.17
EST035372,Estudiante 35372,Contaduría,Santa Ana,9.74
EST035373,Estudiante 35373,Ingeniería Industrial,La Libertad,6.1
EST035374,Estudiante 35374,Contaduría,Sonsonate,8.71
EST035375,Estudiante 35375,Ingeniería en Sistemas,San Miguel,5.04
EST035376,Estudiante 35376,Ingeniería en Sistemas,San Salvador,7.06
EST035377,Estudiante 35377,Ingeniería en Sistemas,San Miguel,5.37
EST035378,Estudiante 35378,Administración,San Salvador,7.22
EST035379,Estudiante 35379,Ingeniería en Sistemas,San Miguel,6.21
EST035380,Estudiante 35380,Arquitectura,San Miguel,8.28
EST035381,Estudiante 35381,Ingeniería Industrial,Santa Ana,6.79
EST035382,Estudiante 35382,Administración,Sonsonate,7.81
EST035383,Estudiante 35383,Ingeniería Industrial,San Miguel,6.1
EST035384,Estudiante 35384,Ingeniería en Sistemas,La Libertad,7.75
EST035385,Estudiante 35385,Arquitectura,Santa Ana,8.99
EST035386,Estudiante 35386,Arquitectura,Santa Ana,5.72
EST035387,Estudiante 35387,Arquitectura,La Libertad,9.63
EST035388,Estudiante 35388,Ingeniería Industrial,Sonsonate,5.31
EST035389,Estudiante 35389,Ingeniería en Sistemas,Sonsonate,9.03
EST035390,Estudiante 35390,Contaduría,Sonsonate,7.84
EST035391,Estudiante 35391,Ingeniería Industrial,La Libertad,6.83
EST035392,Estudiante 35392,Ingeniería en Sistemas,Sonsonate,5.33
EST035393,Estudiante 35393,Ingeniería en Sistemas,Sonsonate,7.7
EST035394,Estudiante 35394,Ingeniería Industrial,San Salvador,5.11
EST035395,Estudiante 35395,Contaduría,San Miguel,8.29
EST035396,Estudiante 35396,Ingeniería en Sistemas,San Salvador,9.75
EST035397,Estudiante 35397,Ingeniería en Sistemas,San Salvador,6.73
EST035398,Estudiante 35398,Ingeniería Industrial,San Salvador,8.26
EST035399,Estudiante 35399,Ingeniería Industrial,San Salvador,6.21
EST035400,Estudiante 35400,Contaduría,San Miguel,8.8
EST035401,Estudiante 35401,Contaduría,Santa Ana,8.72
EST035402,Estudiante 35402,Contaduría,La Libertad,7.82
EST035403,Estudiante 35403,Contaduría,San Salvador,8.92
EST035404,Estudiante 35404,Ingeniería en Sistemas,San Salvador,8.55
EST035405,Estudiante 35405,Ingeniería Industrial,Sonsonate,6.54
EST035406,Estudiante 35406,Ingeniería en Sistemas,Santa Ana,7.89
EST035407,Estudiante 35407,Contaduría,San Miguel,9.27
EST035408,Estudiante 35408,Administración,Santa Ana,9.25
EST035409,Estudiante 35409,Contaduría,Sonsonate,9.96
EST035410,Estudiante 35410,Arquitectura,Sonsonate,7.18
EST035411,Estudiante 35411,Ingeniería Industrial,Santa Ana,6.37
EST035412,Estudiante 35412,Arquitectura,Santa Ana,5.33
EST035413,Estudiante 35413,Ingeniería en Sistemas,San Miguel,6.05
EST035414,Estudiante 35414,Ingeniería Industrial,Sonsonate,5.48
EST035415,Estudiante 35415,Contaduría,Sonsonate,7.9
EST035416,Estudiante 35416,Administración,San Miguel,7.2
EST035417,Estudiante 35417,Administración,La Libertad,8.13
EST035418,Estudiante 35418,Ingeniería en Sistemas,San Miguel,8.09
EST035419,Estudiante 35419,Ingeniería Industrial,San Miguel,6.58
EST035420,Estudiante 35420,Contaduría,San Miguel,6.73
EST035421,Estudiante 35421,Ingeniería Industrial,San Miguel,7.86
EST035422,Estudiante 35422,Ingeniería en Sistemas,La Libertad,7.86
EST035423,Estudiante 35423,Arquitectura,La Libertad,5.02
EST035424,Estudiante 35424,Ingeniería Industrial,Santa Ana,9.62
EST035425,Estudiante 35425,Ingeniería en Sistemas,La Libertad,5.84
EST035426,Estudiante 35426,Administración,Sonsonate,5.48
EST035427,Estudiante 35427,Ingeniería Industrial,San Salvador,5.68
EST035428,Estudiante 35428,Arquitectura,La Libertad,9.96
EST035429,Estudiante 35429,Administración,La Libertad,7.76
EST035430,Estudiante 35430,Ingeniería en Sistemas,Sonsonate,7.02
EST035431,Estudiante 35431,Ingeniería Industrial,Santa Ana,7.69
EST035432,Estudiante 35432,Arquitectura,Santa Ana,6.87
EST035433,Estudiante 35433,Ingeniería Industrial,La Libertad,9.57
EST035434,Estudiante 35434,Contaduría,San Miguel,6.48
EST035435,Estudiante 35435,Ingeniería en Sistemas,Santa Ana,6.43
EST035436,Estudiante 35436,Contaduría,Santa Ana,6.29
EST035437,Estudiante 35437,Ingeniería en Sistemas,Santa Ana,7.4
EST035438,Estudiante 35438,Ingeniería Industrial,Sonsonate,7.46
EST035439,Estudiante 35439,Administración,La Libertad,8.27
EST035440,Estudiante 35440,Administración,Santa Ana,5.49
EST035441,Estudiante 35441,Arquitectura,San Salvador,8.91
EST035442,Estudiante 35442,Ingeniería en Sistemas,Santa Ana,5.95
EST035443,Estudiante 35443,Ingeniería Industrial,Sonsonate,9.23
EST035444,Estudiante 35444,Ingeniería Industrial,San Salvador,6.94
EST035445,Estudiante 35445,Administración,San Salvador,9.1
EST035446,Estudiante 35446,Contaduría,La Libertad,5.81
EST035447,Estudiante 35447,Ingeniería en Sistemas,La Libertad,6.19
EST035448,Estudiante 35448,Contaduría,Santa Ana,5.03
EST035449,Estudiante 35449,Administración,Sonsonate,7.52
EST035450,Estudiante 35450,Ingeniería en Sistemas,Sonsonate,6.5
EST035451,Estudiante 35451,Administración,Santa Ana,9.59
EST035452,Estudiante 35452,Contaduría,San Miguel,8.77
EST035453,Estudiante 35453,Ingeniería Industrial,Sonsonate,9.13
EST035454,Estudiante 35454,Administración,Santa Ana,5.98
EST035455,Estudiante 35455,Contaduría,Sonsonate,9.2
EST035456,Estudiante 35456,Administración,San Miguel,7.8
EST035457,Estudiante 35457,Administración,La Libertad,7.67
EST035458,Estudiante 35458,Ingeniería en Sistemas,Santa Ana,8.07
EST035459,Estudiante 35459,Administración,San Miguel,5.09
EST035460,Estudiante 35460,Ingeniería Industrial,San Salvador,5.21
EST035461,Estudiante 35461,Contaduría,San Salvador,9.7
EST035462,Estudiante 35462,Administración,San Salvador,9.19
EST035463,Estudiante 35463,Arquitectura,Santa Ana,7.29
EST035464,Estudiante 35464,Ingeniería Industrial,San Miguel,6.86
EST035465,Estudiante 35465,Ingeniería Industrial,San Miguel,8.53
EST035466,Estudiante 35466,Contaduría,La Libertad,8.17
EST035467,Estudiante 35467,Arquitectura,San Salvador,8.18
EST035468,Estudiante 35468,Arquitectura,La Libertad,6.64
EST035469,Estudiante 35469,Administración,Sonsonate,8.11
EST035470,Estudiante 35470,Contaduría,San Salvador,6.99
EST035471,Estudiante 35471,Ingeniería Industrial,San Miguel,5.46
EST035472,Estudiante 35472,Ingeniería en Sistemas,San Salvador,6.1
EST035473,Estudiante 35473,Administración,San Salvador,7.81
EST035474,Estudiante 35474,Ingeniería Industrial,San Salvador,9.58
EST035475,Estudiante 35475,Ingeniería Industrial,Sonsonate,6.63
EST035476,Estudiante 35476,Ingeniería Industrial,La Libertad,8.92
EST035477,Estudiante 35477,Ingeniería Industrial,San Miguel,6.35
EST035478,Estudiante 35478,Ingeniería Industrial,Sonsonate,8.81
EST035479,Estudiante 35479,Administración,La Libertad,7.79
EST035480,Estudiante 35480,Ingeniería en Sistemas,Sonsonate,8.3
EST035481,Estudiante 35481,Ingeniería Industrial,Santa Ana,5.78
EST035482,Estudiante 35482,Arquitectura,La Libertad,8.44
EST035483,Estudiante 35483,Contaduría,Sonsonate,8.59
EST035484,Estudiante 35484,Contaduría,San Salvador,6.65
EST035485,Estudiante 35485,Ingeniería Industrial,Santa Ana,8.68
EST035486,Estudiante 35486,Arquitectura,Santa Ana,7.09
EST035487,Estudiante 35487,Ingeniería Industrial,Sonsonate,9.0
EST035488,Estudiante 35488,Contaduría,San Salvador,9.97
EST035489,Estudiante 35489,Ingeniería Industrial,San Salvador,5.2
EST035490,Estudiante 35490,Ingeniería en Sistemas,La Libertad,9.26
EST035491,Estudiante 35491,Ingeniería en Sistemas,San Miguel,5.45
EST035492,Estudiante 35492,Ingeniería Industrial,La Libertad,5.92
EST035493,Estudiante 35493,Ingeniería Industrial,Sonsonate,8.16
EST035494,Estudiante 35494,Ingeniería Industrial,Santa Ana,8.78
EST035495,Estudiante 35495,Ingeniería Industrial,Sonsonate,8.84
EST035496,Estudiante 35496,Arquitectura,La Libertad,9.67
EST035497,Estudiante 35497,Arquitectura,Sonsonate,8.25
EST035498,Estudiante 35498,Ingeniería Industrial,La Libertad,5.71
EST035499,Estudiante 35499,Arquitectura,Santa Ana,7.72
EST035500,Estudiante 35500,Administración,Santa Ana,9.08
EST035501,Estudiante 35501,Arquitectura,San Miguel,9.56
EST035502,Estudiante 35502,Ingeniería en Sistemas,San Miguel,5.72
EST035503,Estudiante 35503,Arquitectura,San Miguel,5.23
EST035504,Estudiante 35504,Ingeniería Industrial,Sonsonate,8.89
EST035505,Estudiante 35505,Arquitectura,San Salvador,6.46
EST035506,Estudiante 35506,Ingeniería en Sistemas,Santa Ana,6.3
EST035507,Estudiante 35507,Contaduría,Santa Ana,6.43
EST035508,Estudiante 35508,Contaduría,San Miguel,5.68
EST035509,Estudiante 35509,Ingeniería Industrial,San Miguel,7.64
EST035510,Estudiante 35510,Ingeniería Industrial,Santa Ana,7.08
EST035511,Estudiante 35511,Ingeniería en Sistemas,San Salvador,8.28
EST035512,Estudiante 35512,Ingeniería Industrial,Santa Ana,5.76
EST035513,Estudiante 35513,Ingeniería Industrial,La Libertad,6.28
EST035514,Estudiante 35514,Contaduría,San Salvador,5.92
EST035515,Estudiante 35515,Ingeniería Industrial,Sonsonate,7.25
EST035516,Estudiante 35516,Ingeniería en Sistemas,San Miguel,6.1
EST035517,Estudiante 35517,Arquitectura,La Libertad,5.35
EST035518,Estudiante 35518,Ingeniería Industrial,San Salvador,6.23
EST035519,Estudiante 35519,Arquitectura,San Miguel,7.87
EST035520,Estudiante 35520,Administración,San Miguel,8.03
EST035521,Estudiante 35521,Administración,La Libertad,6.4
EST035522,Estudiante 35522,Arquitectura,San Miguel,8.32
EST035523,Estudiante 35523,Ingeniería en Sistemas,Sonsonate,6.03
EST035524,Estudiante 35524,Ingeniería en Sistemas,San Salvador,8.22
EST035525,Estudiante 35525,Contaduría,Sonsonate,6.2
EST035526,Estudiante 35526,Ingeniería Industrial,San Miguel,7.13
EST035527,Estudiante 35527,Arquitectura,La Libertad,8.69
EST035528,Estudiante 35528,Ingeniería en Sistemas,San Miguel,6.7
EST035529,Estudiante 35529,Ingeniería en Sistemas,Santa Ana,5.78
EST035530,Estudiante 35530,Ingeniería Industrial,San Salvador,6.0
EST035531,Estudiante 35531,Ingeniería Industrial,San Salvador,8.2
EST035532,Estudiante 35532,Ingeniería Industrial,Santa Ana,8.17
EST035533,Estudiante 35533,Ingeniería en Sistemas,La Libertad,9.72
EST035534,Estudiante 35534,Administración,Sonsonate,9.88
EST035535,Estudiante 35535,Arquitectura,Santa Ana,8.39
EST035536,Estudiante 35536,Ingeniería Industrial,San Salvador,8.01
EST035537,Estudiante 35537,Administración,San Salvador,6.71
EST035538,Estudiante 35538,Ingeniería Industrial,San Salvador,7.87
EST035539,Estudiante 35539,Contaduría,San Salvador,5.09
EST035540,Estudiante 35540,Contaduría,San Miguel,6.83
EST035541,Estudiante 35541,Administración,La Libertad,9.84
EST035542,Estudiante 35542,Arquitectura,Santa Ana,5.87
EST035543,Estudiante 35543,Administración,Sonsonate,9.2
EST035544,Estudiante 35544,Ingeniería en Sistemas,La Libertad,7.75
EST035545,Estudiante 35545,Arquitectura,Santa Ana,6.96
EST035546,Estudiante 35546,Ingeniería en Sistemas,San Miguel,8.71
EST035547,Estudiante 35547,Ingeniería en Sistemas,San Salvador,7.51
EST035548,Estudiante 35548,Arquitectura,Sonsonate,8.73
EST035549,Estudiante 35549,Contaduría,San Salvador,8.0
EST035550,Estudiante 35550,Arquitectura,San Salvador,6.05
EST035551,Estudiante 35551,Ingeniería Industrial,Sonsonate,8.01
EST035552,Estudiante 35552,Administración,Santa Ana,7.02
EST035553,Estudiante 35553,Contaduría,San Miguel,5.14
EST035554,Estudiante 35554,Ingeniería Industrial,La Libertad,5.15
EST035555,Estudiante 35555,Arquitectura,Santa Ana,9.88
EST035556,Estudiante 35556,Contaduría,San Salvador,9.83
EST035557,Estudiante 35557,Ingeniería en Sistemas,San Miguel,7.49
EST035558,Estudiante 35558,Contaduría,San Salvador,8.38
EST035559,Estudiante 35559,Ingeniería Industrial,La Libertad,5.53
EST035560,Estudiante 35560,Ingeniería en Sistemas,La Libertad,8.93
EST035561,Estudiante 35561,Administración,La Libertad,7.43
EST035562,Estudiante 35562,Arquitectura,Santa Ana,6.56
EST035563,Estudiante 35563,Ingeniería en Sistemas,Sonsonate,5.6
EST035564,Estudiante 35564,Contaduría,San Salvador,6.07
EST035565,Estudiante 35565,Contaduría,San Salvador,5.83
EST035566,Estudiante 35566,Arquitectura,La Libertad,7.92
EST035567,Estudiante 35567,Arquitectura,La Libertad,5.86
EST035568,Estudiante 35568,Ingeniería Industrial,La Libertad,5.01
EST035569,Estudiante 35569,Ingeniería Industrial,Santa Ana,9.86
EST035570,Estudiante 35570,Administración,Santa Ana,9.75
EST035571,Estudiante 35571,Administración,Sonsonate,8.75
EST035572,Estudiante 35572,Administración,La Libertad,7.96
EST035573,Estudiante 35573,Ingeniería en Sistemas,San Miguel,8.32
EST035574,Estudiante 35574,Contaduría,San Miguel,7.13
EST035575,Estudiante 35575,Ingeniería Industrial,Sonsonate,6.82
EST035576,Estudiante 35576,Contaduría,San Miguel,9.81
EST035577,Estudiante 35577,Administración,San Miguel,8.95
EST035578,Estudiante 35578,Arquitectura,San Miguel,7.31
EST035579,Estudiante 35579,Ingeniería en Sistemas,San Salvador,9.38
EST035580,Estudiante 35580,Administración,Sonsonate,6.23
EST035581,Estudiante 35581,Administración,La Libertad,5.56
EST035582,Estudiante 35582,Arquitectura,La Libertad,8.41
EST035583,Estudiante 35583,Contaduría,La Libertad,9.9
EST035584,Estudiante 35584,Arquitectura,San Salvador,9.92
EST035585,Estudiante 35585,Arquitectura,Sonsonate,9.49
EST035586,Estudiante 35586,Ingeniería Industrial,Sonsonate,5.48
EST035587,Estudiante 35587,Arquitectura,San Miguel,7.41
EST035588,Estudiante 35588,Ingeniería Industrial,La Libertad,6.13
EST035589,Estudiante 35589,Arquitectura,Santa Ana,8.5
EST035590,Estudiante 35590,Contaduría,San Miguel,9.23
EST035591,Estudiante 35591,Contaduría,San Salvador,9.26
EST035592,Estudiante 35592,Arquitectura,San Miguel,6.03
EST035593,Estudiante 35593,Ingeniería en Sistemas,Santa Ana,5.75
EST035594,Estudiante 35594,Administración,San Salvador,6.48
EST035595,Estudiante 35595,Contaduría,Sonsonate,9.05
EST035596,Estudiante 35596,Contaduría,La Libertad,9.39
EST035597,Estudiante 35597,Ingeniería Industrial,La Libertad,9.44
EST035598,Estudiante 35598,Ingeniería Industrial,San Miguel,6.49
EST035599,Estudiante 35599,Ingeniería Industrial,La Libertad,9.68
EST035600,Estudiante 35600,Ingeniería Industrial,Santa Ana,7.43
EST035601,Estudiante 35601,Arquitectura,Santa Ana,6.56
EST035602,Estudiante 35602,Administración,San Salvador,6.94
EST035603,Estudiante 35603,Arquitectura,San Salvador,5.24
EST035604,Estudiante 35604,Ingeniería Industrial,Sonsonate,9.79
EST035605,Estudiante 35605,Ingeniería en Sistemas,San Salvador,9.17
EST035606,Estudiante 35606,Arquitectura,Santa Ana,9.2
EST035607,Estudiante 35607,Ingeniería Industrial,Santa Ana,6.48
EST035608,Estudiante 35608,Ingeniería en Sistemas,Santa Ana,6.56
EST035609,Estudiante 35609,Arquitectura,Sonsonate,6.21
EST035610,Estudiante 35610,Contaduría,San Salvador,9.32
EST035611,Estudiante 35611,Contaduría,Sonsonate,6.4
EST035612,Estudiante 35612,Arquitectura,San Miguel,5.38
EST035613,Estudiante 35613,Administración,Sonsonate,6.55
EST035614,Estudiante 35614,Ingeniería en Sistemas,Sonsonate,8.68
EST035615,Estudiante 35615,Contaduría,La Libertad,9.65
EST035616,Estudiante 35616,Administración,San Salvador,6.59
EST035617,Estudiante 35617,Ingeniería en Sistemas,San Salvador,8.2
EST035618,Estudiante 35618,Ingeniería en Sistemas,Sonsonate,9.44
EST035619,Estudiante 35619,Ingeniería Industrial,San Salvador,7.84
EST035620,Estudiante 35620,Arquitectura,San Miguel,5.53
EST035621,Estudiante 35621,Arquitectura,Santa Ana,8.51
EST035622,Estudiante 35622,Arquitectura,Sonsonate,5.76
EST035623,Estudiante 35623,Ingeniería en Sistemas,Santa Ana,5.47
EST035624,Estudiante 35624,Ingeniería en Sistemas,Sonsonate,8.02
EST035625,Estudiante 35625,Contaduría,Santa Ana,5.64
EST035626,Estudiante 35626,Contaduría,La Libertad,7.56
EST035627,Estudiante 35627,Contaduría,La Libertad,8.98
EST035628,Estudiante 35628,Contaduría,San Miguel,8.95
EST035629,Estudiante 35629,Contaduría,San Salvador,7.35
EST035630,Estudiante 35630,Ingeniería en Sistemas,San Miguel,8.22
EST035631,Estudiante 35631,Ingeniería en Sistemas,Sonsonate,6.38
EST035632,Estudiante 35632,Ingeniería en Sistemas,San Salvador,5.42
EST035633,Estudiante 35633,Administración,Santa Ana,7.06
EST035634,Estudiante 35634,Arquitectura,Santa Ana,8.47
EST035635,Estudiante 35635,Administración,La Libertad,5.9
EST035636,Estudiante 35636,Administración,Sonsonate,9.75
EST035637,Estudiante 35637,Arquitectura,San Miguel,7.55
EST035638,Estudiante 35638,Ingeniería Industrial,Sonsonate,6.0
EST035639,Estudiante 35639,Ingeniería en Sistemas,La Libertad,6.37
EST035640,Estudiante 35640,Ingeniería Industrial,Santa Ana,5.51
EST035641,Estudiante 35641,Administración,Sonsonate,6.49
EST035642,Estudiante 35642,Arquitectura,Santa Ana,5.14
EST035643,Estudiante 35643,Ingeniería Industrial,San Miguel,6.78
EST035644,Estudiante 35644,Contaduría,San Miguel,7.04
EST035645,Estudiante 35645,Arquitectura,Sonsonate,9.52
EST035646,Estudiante 35646,Ingeniería Industrial,San Salvador,7.58
EST035647,Estudiante 35647,Administración,San Salvador,7.53
EST035648,Estudiante 35648,Administración,La Libertad,6.21
EST035649,Estudiante 35649,Ingeniería Industrial,La Libertad,9.12
EST035650,Estudiante 35650,Ingeniería en Sistemas,Sonsonate,7.01
EST035651,Estudiante 35651,Arquitectura,Santa Ana,5.39
EST035652,Estudiante 35652,Administración,La Libertad,6.86
EST035653,Estudiante 35653,Ingeniería en Sistemas,Sonsonate,7.06
EST035654,Estudiante 35654,Administración,San Salvador,6.69
EST035655,Estudiante 35655,Ingeniería en Sistemas,Santa Ana,9.67
EST035656,Estudiante 35656,Ingeniería en Sistemas,Sonsonate,6.76
EST035657,Estudiante 35657,Arquitectura,San Miguel,7.34
EST035658,Estudiante 35658,Arquitectura,Sonsonate,7.48
EST035659,Estudiante 35659,Ingeniería Industrial,Santa Ana,6.69
EST035660,Estudiante 35660,Arquitectura,La Libertad,6.18
EST035661,Estudiante 35661,Ingeniería en Sistemas,La Libertad,8.19
EST035662,Estudiante 35662,Contaduría,San Miguel,8.65
EST035663,Estudiante 35663,Administración,San Miguel,7.29
EST035664,Estudiante 35664,Administración,San Salvador,7.09
EST035665,Estudiante 35665,Ingeniería en Sistemas,La Libertad,8.5
EST035666,Estudiante 35666,Contaduría,Sonsonate,6.88
EST035667,Estudiante 35667,Administración,San Salvador,5.58
EST035668,Estudiante 35668,Arquitectura,La Libertad,6.68
EST035669,Estudiante 35669,Ingeniería Industrial,San Salvador,6.42
EST035670,Estudiante 35670,Ingeniería Industrial,Santa Ana,7.91
EST035671,Estudiante 35671,Arquitectura,Sonsonate,7.07
EST035672,Estudiante 35672,Contaduría,San Salvador,7.47
EST035673,Estudiante 35673,Administración,Santa Ana,7.9
EST035674,Estudiante 35674,Contaduría,Santa Ana,7.27
EST035675,Estudiante 35675,Ingeniería en Sistemas,San Salvador,8.81
EST035676,Estudiante 35676,Ingeniería Industrial,Sonsonate,6.13
EST035677,Estudiante 35677,Ingeniería Industrial,San Miguel,9.06
EST035678,Estudiante 35678,Administración,San Salvador,6.03
EST035679,Estudiante 35679,Ingeniería Industrial,Santa Ana,5.23
EST035680,Estudiante 35680,Contaduría,La Libertad,9.8
EST035681,Estudiante 35681,Administración,Santa Ana,5.66
EST035682,Estudiante 35682,Arquitectura,San Miguel,6.29
EST035683,Estudiante 35683,Contaduría,Sonsonate,8.47
EST035684,Estudiante 35684,Contaduría,San Miguel,6.96
EST035685,Estudiante 35685,Ingeniería Industrial,Sonsonate,8.4
EST035686,Estudiante 35686,Ingeniería Industrial,San Salvador,6.63
EST035687,Estudiante 35687,Ingeniería Industrial,San Salvador,6.04
EST035688,Estudiante 35688,Arquitectura,Santa Ana,8.05
EST035689,Estudiante 35689,Contaduría,Sonsonate,8.86
EST035690,Estudiante 35690,Administración,San Salvador,6.08
EST035691,Estudiante 35691,Ingeniería Industrial,San Salvador,5.46
